nStepSARSAAgent * Best: 60 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 49 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 39 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 27 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 51 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 12 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 12 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 14 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 91 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 66 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 98 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 44 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 33 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 33 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 12 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 12 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 13 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 11 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 9 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1, 'n': 3} * Episodes: 5000
