QLearningAgent * Best: 201 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 91 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 67 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 3 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 2 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 6 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 35 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 17 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 11 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 96 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 41 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 13 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 3 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 5 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 4 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 5 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 10 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 4 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 20 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 169 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 499 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 1 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 1 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
